fill	x	y	xmin	xmax	ymin	ymax
#EFECF6	16980	24	16955	17005	-1	49
#FBF6F5	17030	24	17005	17055	-1	49
#F4E6E4	17030	74	17005	17055	49	99
#F5F3F9	17080	74	17055	17105	49	99
#FBF5F5	17080	124	17055	17105	99	149
#F6F4FA	17130	124	17105	17155	99	149
#FFFEFE	17130	174	17105	17155	149	199
#F9F1F0	17180	174	17155	17205	149	199
#E4C5C1	17180	224	17155	17205	199	249
#DFBCB7	17230	224	17205	17255	199	249
#CA948D	17230	274	17205	17255	249	299
#C68D86	17280	274	17255	17305	249	299
#C9938C	17280	324	17255	17305	299	349
#D9AFAA	17330	324	17305	17355	299	349
#F9F8FC	17330	374	17305	17355	349	399
#FAFAFC	17380	374	17355	17405	349	399
#E4E1F1	17380	424	17355	17405	399	449
#EDEAF5	17430	424	17405	17455	399	449
#F8F0EF	17430	474	17405	17455	449	499
#F2E1DF	17480	474	17455	17505	449	499
#F4F2F9	17480	524	17455	17505	499	549
#CAC3E2	17530	524	17505	17555	499	549
#C8C1E1	17530	574	17505	17555	549	599
#CDC7E4	17580	574	17555	17605	549	599
#C9C2E2	17580	624	17555	17605	599	649
#CEC8E5	17630	624	17605	17655	599	649
#B8AFD8	17630	674	17605	17655	649	699
#D5CFE8	17680	674	17655	17705	649	699
#DBD6EB	17680	724	17655	17705	699	749
#D4CFE8	17730	724	17705	17755	699	749
#C9C2E2	17730	774	17705	17755	749	799
#ECE9F4	17780	774	17755	17805	749	799
#FAF3F2	17780	824	17755	17805	799	849
#FCF8F8	17830	824	17805	17855	799	849
#D3CDE7	17830	874	17805	17855	849	899
#DEDAED	17880	874	17855	17905	849	899
#F1EFF7	17880	924	17855	17905	899	949
#DED9ED	17930	924	17905	17955	899	949
#DCD7EC	17930	974	17905	17955	949	999
#9D93CA	17980	974	17955	18005	949	999
#968BC6	17980	1024	17955	18005	999	1049
#8A80C0	18030	1024	18005	18055	999	1049
#897FBF	18030	1074	18005	18055	1049	1099
#988EC7	18080	1074	18055	18105	1049	1099
#C9C2E2	18080	1124	18055	18105	1099	1149
#B5ACD6	18130	1124	18105	18155	1099	1149
#BBB2DA	18130	1174	18105	18155	1149	1199
#9E94CA	18180	1174	18155	18205	1149	1199
#8A7FBF	18180	1224	18155	18205	1199	1249
#786EB6	18230	1224	18205	18255	1199	1249
#6960AE	18230	1274	18205	18255	1249	1299
#897EBF	18280	1274	18255	18305	1249	1299
#5A52A6	18280	1324	18255	18305	1299	1349
#8B80C0	18330	1324	18305	18355	1299	1349
#9388C4	18330	1374	18305	18355	1349	1399
#9187C3	18380	1374	18355	18405	1349	1399
#B6AED7	18380	1424	18355	18405	1399	1449
#A096CB	18430	1424	18405	18455	1399	1449
#978DC6	18430	1474	18405	18455	1449	1499
#FBFAFD	17080	24	17055	17105	-1	49
#FEFDFC	17180	124	17155	17205	99	149
#D9AFA9	17280	224	17255	17305	199	249
#F2E1DF	17380	324	17355	17405	299	349
#ECD5D2	17480	424	17455	17505	399	449
#F7F5FA	17580	524	17555	17605	499	549
#FDFDFE	17680	624	17655	17705	599	649
#EDEAF5	17780	724	17755	17805	699	749
#EDEAF5	17880	824	17855	17905	799	849
#CCC5E3	17980	924	17955	18005	899	949
#A59BCE	18080	1024	18055	18105	999	1049
#C4BCDF	18180	1124	18155	18205	1099	1149
#8C82C1	18380	1324	18355	18405	1299	1349
#E6E2F1	17130	74	17105	17155	49	99
#F0DEDC	17230	174	17205	17255	149	199
#CF9D97	17330	274	17305	17355	249	299
#F5E7E6	17430	374	17405	17455	349	399
#F4F2F9	17530	474	17505	17555	449	499
#E2DEEF	17630	574	17605	17655	549	599
#F1E0DD	17830	774	17805	17855	749	799
#EEECF6	17930	874	17905	17955	849	899
#9F95CB	18030	974	18005	18055	949	999
#CFC9E5	18130	1074	18105	18155	1049	1099
#B9B1D9	18230	1174	18205	18255	1149	1199
#9A8FC8	18280	1224	18255	18305	1199	1249
#8176BA	18330	1274	18305	18355	1249	1299
#AFA6D3	18430	1374	18405	18455	1349	1399
#ECE9F4	17730	674	17705	17755	649	699
#A79DCF	18480	1424	18455	18505	1399	1449
#EAE7F4	17130	24	17105	17155	-1	49
#FAF9FC	17180	74	17155	17205	49	99
#FBF6F5	17230	124	17205	17255	99	149
#ECD4D1	17280	174	17255	17305	149	199
#D5A8A2	17330	224	17305	17355	199	249
#DFBBB6	17380	274	17355	17405	249	299
#E5C7C3	17430	324	17405	17455	299	349
#F2E2E0	17480	374	17455	17505	349	399
#F1DFDC	17530	424	17505	17555	399	449
#FCF8F7	17580	474	17555	17605	449	499
#FDFDFE	17630	524	17605	17655	499	549
#FBF5F4	17680	574	17655	17705	549	599
#FAFAFD	17730	624	17705	17755	599	649
#F5F4FA	17780	674	17755	17805	649	699
#FFFFFF	17830	724	17805	17855	699	749
#FBF5F4	17880	774	17855	17905	749	799
#E7E4F2	17930	824	17905	17955	799	849
#D6D0E9	17980	874	17955	18005	849	899
#ACA3D2	18030	924	18005	18055	899	949
#AAA1D1	18080	974	18055	18105	949	999
#BEB6DB	18130	1024	18105	18155	999	1049
#D4CEE7	18180	1074	18155	18205	1049	1099
#D0CAE6	18230	1124	18205	18255	1099	1149
#AFA5D3	18280	1174	18255	18305	1149	1199
#B7AED8	18330	1224	18305	18355	1199	1249
#978DC6	18380	1274	18355	18405	1249	1299
#968CC6	18430	1324	18405	18455	1299	1349
#AEA5D3	18480	1374	18455	18505	1349	1399
#F8F0EF	17180	24	17155	17205	-1	49
#FBF6F5	17280	124	17255	17305	99	149
#DDB7B2	17380	224	17355	17405	199	249
#ECD6D3	17480	324	17455	17505	299	349
#FBFBFD	17580	424	17555	17605	399	449
#FFFEFF	17680	524	17655	17705	499	549
#F5F4FA	17780	624	17755	17805	599	649
#F6EAE8	17880	724	17855	17905	699	749
#E1DDEF	17980	824	17955	18005	799	849
#A59CCE	18080	924	18055	18105	899	949
#CEC7E4	18180	1024	18155	18205	999	1049
#C5BEDF	18280	1124	18255	18305	1099	1149
#988EC7	18380	1224	18355	18405	1199	1249
#A298CC	18480	1324	18455	18505	1299	1349
#FBF6F5	17230	74	17205	17255	49	99
#E9CECA	17330	174	17305	17355	149	199
#EFDBD8	17430	274	17405	17455	249	299
#F2E2DF	17530	374	17505	17555	349	399
#F7EDEC	17630	474	17605	17655	449	499
#F1E0DE	17730	574	17705	17755	549	599
#F8F8FB	17830	674	17805	17855	649	699
#E8E5F3	17930	774	17905	17955	749	799
#C1BADE	18030	874	18005	18055	849	899
#B1A8D5	18130	974	18105	18155	949	999
#CDC6E4	18230	1074	18205	18255	1049	1099
#ACA3D2	18330	1174	18305	18355	1149	1199
#8A80C0	18430	1274	18405	18455	1249	1299
#A399CD	18530	1374	18505	18555	1349	1399
#F5F3F9	17230	24	17205	17255	-1	49
#F3F1F8	17280	74	17255	17305	49	99
#FCF8F7	17330	124	17305	17355	99	149
#E1BEBA	17380	174	17355	17405	149	199
#EBD3CF	17430	224	17405	17455	199	249
#F0DDDB	17480	274	17455	17505	249	299
#FDFAFA	17530	324	17505	17555	299	349
#EFDCD9	17580	374	17555	17605	349	399
#FBFAFD	17630	424	17605	17655	399	449
#FEFEFE	17680	474	17655	17705	449	499
#FBFBFD	17730	524	17705	17755	499	549
#EDEBF5	17780	574	17755	17805	549	599
#F3F1F9	17830	624	17805	17855	599	649
#F7F5FA	17880	674	17855	17905	649	699
#FAF4F4	17930	724	17905	17955	699	749
#E8E5F3	17980	774	17955	18005	749	799
#DAD6EB	18030	824	18005	18055	799	849
#A89ECF	18080	874	18055	18105	849	899
#9E94CA	18130	924	18105	18155	899	949
#B7AFD8	18180	974	18155	18205	949	999
#C9C2E2	18230	1024	18205	18255	999	1049
#C3BBDE	18280	1074	18255	18305	1049	1099
#9A90C8	18330	1124	18305	18355	1099	1149
#ABA2D2	18380	1174	18355	18405	1149	1199
#8F85C2	18430	1224	18405	18455	1199	1249
#877CBE	18480	1274	18455	18505	1249	1299
#A69CCE	18530	1324	18505	18555	1299	1349
#FBF6F5	17280	24	17255	17305	-1	49
#F5E9E8	17380	124	17355	17405	99	149
#FBF6F5	17480	224	17455	17505	199	249
#F5E8E6	17580	324	17555	17605	299	349
#FEFEFF	17680	424	17655	17705	399	449
#FEFDFD	17780	524	17755	17805	499	549
#F1EFF7	17880	624	17855	17905	599	649
#E1DDEF	17980	724	17955	18005	699	749
#CEC7E4	18080	824	18055	18105	799	849
#A89FD0	18180	924	18155	18205	899	949
#C6BFE0	18280	1024	18255	18305	999	1049
#9A90C8	18380	1124	18355	18405	1099	1149
#887DBE	18480	1224	18455	18505	1199	1249
#F4F3F9	17330	74	17305	17355	49	99
#E7CBC8	17430	174	17405	17455	149	199
#F5E9E7	17530	274	17505	17555	249	299
#FFFEFE	17630	374	17605	17655	349	399
#FDFDFE	17730	474	17705	17755	449	499
#F7F6FB	17830	574	17805	17855	549	599
#F7EEEC	17930	674	17905	17955	649	699
#EFEDF6	18030	774	18005	18055	749	799
#A59BCE	18130	874	18105	18155	849	899
#D1CBE6	18230	974	18205	18255	949	999
#B2A9D5	18330	1074	18305	18355	1049	1099
#8B80C0	18430	1174	18405	18455	1149	1199
#A69CCF	18530	1274	18505	18555	1249	1299
#968BC6	18580	1324	18555	18605	1299	1349
#FAF9FC	17330	24	17305	17355	-1	49
#F8F0EF	17380	74	17355	17405	49	99
#D1A09A	17430	124	17405	17455	99	149
#E6C9C5	17480	174	17455	17505	149	199
#D2CCE6	17530	224	17505	17555	199	249
#F7F6FB	17580	274	17555	17605	249	299
#CE9C96	17630	324	17605	17655	299	349
#DEDAED	17680	374	17655	17705	349	399
#F2E2DF	17730	424	17705	17755	399	449
#C9C2E2	17780	474	17755	17805	449	499
#EDEAF5	17830	524	17805	17855	499	549
#FCF9F9	17880	574	17855	17905	549	599
#F4F2F9	17930	624	17905	17955	599	649
#EED9D7	17980	674	17955	18005	649	699
#FCF8F7	18030	724	18005	18055	699	749
#FBF5F4	18080	774	18055	18105	749	799
#CCC5E3	18130	824	18105	18155	799	849
#978DC6	18180	874	18155	18205	849	899
#A89ED0	18230	924	18205	18255	899	949
#BFB7DC	18280	974	18255	18305	949	999
#9086C3	18330	1024	18305	18355	999	1049
#9086C3	18380	1074	18355	18405	1049	1099
#4B469F	18430	1124	18405	18455	1099	1149
#AAA0D1	18480	1174	18455	18505	1149	1199
#968CC6	18530	1224	18505	18555	1199	1249
#B0A7D4	18580	1274	18555	18605	1249	1299
#FEFDFC	17380	24	17355	17405	-1	49
#F3E4E2	17480	124	17455	17505	99	149
#FCF7F7	17580	224	17555	17605	199	249
#F9F2F1	17680	324	17655	17705	299	349
#F4F2F9	17780	424	17755	17805	399	449
#E5E2F1	17880	524	17855	17905	499	549
#F6EBE9	17980	624	17955	18005	599	649
#F8F7FB	18080	724	18055	18105	699	749
#A399CD	18180	824	18155	18205	799	849
#D4CFE8	18280	924	18255	18305	899	949
#8177BB	18480	1124	18455	18505	1099	1149
#A89ED0	18580	1224	18555	18605	1199	1249
#FAF3F2	17430	74	17405	17455	49	99
