group	x	y	showSelected1
1	16980	24	1414
1	16980	24	542
1	16980	24	2948
1	16980	24	1492
1	16980	24	1473
1	16980	24	1675
1	16980	24	94
1	16980	24	1955
1	16980	24	2949
1	16980	24	1151
2	17030	24	1492
2	17030	24	1473
2	17030	24	542
2	17030	24	2949
2	17030	24	1799
2	17030	24	1151
2	17030	24	1111
3	17030	74	1492
3	17030	74	542
3	17030	74	1799
3	17030	74	470
6	17080	74	470
6	17080	74	327
6	17080	74	1799
6	17080	74	540
6	17080	74	542
6	17080	74	761
5	17080	124	470
5	17080	124	327
5	17080	124	2642
8	17130	124	2642
8	17130	124	1031
8	17130	124	327
8	17130	124	470
8	17130	124	166
8	17130	124	2055
8	17130	124	1775
8	17130	124	540
9	17130	174	1031
9	17130	174	327
9	17130	174	166
13	17180	174	327
13	17180	174	919
13	17180	174	1031
13	17180	174	85
13	17180	174	44
13	17180	174	1088
13	17180	174	455
13	17180	174	166
14	17180	224	919
14	17180	224	44
14	17180	224	1088
19	17230	224	44
19	17230	224	110
19	17230	224	919
19	17230	224	1218
19	17230	224	1943
19	17230	224	2568
19	17230	224	1088
20	17230	274	44
20	17230	274	110
20	17230	274	1218
26	17280	274	110
26	17280	274	44
26	17280	274	1218
26	17280	274	800
26	17280	274	2568
26	17280	274	2094
27	17280	324	110
27	17280	324	44
27	17280	324	800
34	17330	324	44
34	17330	324	911
34	17330	324	1459
34	17330	324	2551
34	17330	324	207
34	17330	324	800
34	17330	324	2772
34	17330	324	1001
35	17330	374	911
35	17330	374	1459
35	17330	374	207
35	17330	374	1000
35	17330	374	1407
43	17380	374	1000
43	17380	374	207
43	17380	374	627
43	17380	374	1407
43	17380	374	442
43	17380	374	1459
43	17380	374	1853
43	17380	374	1764
43	17380	374	2831
44	17380	424	1000
44	17380	424	1255
44	17380	424	627
44	17380	424	442
53	17430	424	1000
53	17430	424	1255
53	17430	424	426
53	17430	424	1187
53	17430	424	442
53	17430	424	627
53	17430	424	1334
53	17430	424	2086
53	17430	424	207
54	17430	474	1255
54	17430	474	426
54	17430	474	2880
54	17430	474	1334
64	17480	474	2880
64	17480	474	426
64	17480	474	1239
64	17480	474	446
64	17480	474	1334
64	17480	474	1451
64	17480	474	1769
64	17480	474	2427
64	17480	474	188
66	17480	524	2880
66	17480	524	1239
66	17480	524	1451
66	17480	524	426
77	17530	524	1451
77	17530	524	1452
77	17530	524	338
77	17530	524	601
77	17530	524	247
77	17530	524	1239
77	17530	524	1445
77	17530	524	1769
78	17530	574	1452
78	17530	574	725
78	17530	574	247
78	17530	574	1445
78	17530	574	338
78	17530	574	601
90	17580	574	247
90	17580	574	725
90	17580	574	1190
90	17580	574	1445
90	17580	574	2192
90	17580	574	2657
91	17580	624	247
91	17580	624	1190
91	17580	624	2134
91	17580	624	1228
104	17630	624	1190
104	17630	624	1228
104	17630	624	208
104	17630	624	2735
104	17630	624	2252
104	17630	624	247
104	17630	624	620
104	17630	624	1322
104	17630	624	411
105	17630	674	1228
105	17630	674	689
105	17630	674	208
105	17630	674	2735
119	17680	674	689
119	17680	674	2289
