group	fill	clickSelects
1	#FFFFFF	156
2	#FFFFFF	156
3	#FFFFFF	539
4	#FFFFFF	156
5	#FFFFFF	209
6	#FFFFFF	209
7	#FFFFFF	209
8	#FFFFFF	209
9	#FFFFFF	1580
10	#FFFFFF	1580
11	#FFFFFF	1580
12	#FFFFFF	1580
13	#FFFFFF	209
14	#FFFFFF	539
15	#FFFFFF	1580
16	#FFFFFF	1580
17	#FFFFFF	209
18	#FFFFFF	209
19	#FFFFFF	209
20	#FFFFFF	117
21	#FFFFFF	117
22	#FFFFFF	117
23	#FFFFFF	117
24	#FFFFFF	117
25	#FFFFFF	539
26	#FFFFFF	117
27	#FFFFFF	117
28	#FFFFFF	209
29	#FFFFFF	209
30	#FFFFFF	117
31	#FFFFFF	209
32	#FFFFFF	209
33	#FFFFFF	209
34	#FFFFFF	117
35	#FFFFFF	209
36	#FFFFFF	156
37	#FFFFFF	209
38	#FFFFFF	209
39	#FFFFFF	209
40	#FFFFFF	209
41	#FFFFFF	209
42	#FFFFFF	209
43	#FFFFFF	209
44	#FFFFFF	209
45	#FFFFFF	209
46	#FFFFFF	156
47	#FFFFFF	156
48	#FFFFFF	209
49	#FFFFFF	156
50	#FFFFFF	156
51	#FFFFFF	156
52	#FFFFFF	156
53	#FFFFFF	539
54	#FFFFFF	156
55	#FFFFFF	156
56	#FFFFFF	209
57	#FFFFFF	156
58	#FFFFFF	156
59	#FFFFFF	156
60	#FFFFFF	1580
61	#FFFFFF	1580
62	#FFFFFF	1580
63	#FFFFFF	209
64	#FFFFFF	156
65	#FFFFFF	1580
66	#FFFFFF	1580
67	#FFFFFF	1580
68	#FFFFFF	209
69	#FFFFFF	209
70	#FFFFFF	117
71	#FFFFFF	117
72	#FFFFFF	209
73	#FFFFFF	117
74	#FFFFFF	117
75	#FFFFFF	539
76	#FFFFFF	117
77	#FFFFFF	209
78	#FFFFFF	209
79	#FFFFFF	209
80	#FFFFFF	209
81	#FFFFFF	209
82	#FFFFFF	209
83	#FFFFFF	209
84	#FFFFFF	209
85	#FFFFFF	209
86	#FFFFFF	539
87	#FFFFFF	209
88	#FFFFFF	209
89	#FFFFFF	209
90	#FFFFFF	209
91	#FFFFFF	209
92	#FFFFFF	209
93	#FFFFFF	209
94	#FFFFFF	209
95	#FFFFFF	209
96	#FFFFFF	209
97	#FFFFFF	156
98	#FFFFFF	156
99	#FFFFFF	156
100	#FFFFFF	209
101	#FFFFFF	156
102	#FFFFFF	156
103	#FFFFFF	156
104	#FFFFFF	156
105	#FFFFFF	156
106	#FFFFFF	209
107	#FFFFFF	156
108	#FFFFFF	156
109	#FFFFFF	156
110	#FFFFFF	1580
111	#FFFFFF	1580
112	#FFFFFF	1580
113	#FFFFFF	1580
114	#FFFFFF	1580
115	#FFFFFF	156
116	#FFFFFF	1580
117	#FFFFFF	1580
118	#FFFFFF	209
119	#FFFFFF	209
120	#FFFFFF	117
121	#FFFFFF	209
122	#FFFFFF	209
123	#FFFFFF	117
124	#FFFFFF	117
125	#FFFFFF	117
126	#FFFFFF	539
127	#FFFFFF	209
128	#FFFFFF	209
129	#FFFFFF	209
130	#FFFFFF	209
131	#FFFFFF	209
132	#FFFFFF	209
133	#FFFFFF	209
134	#FFFFFF	209
135	#FFFFFF	209
136	#FFFFFF	209
137	#FFFFFF	156
138	#FFFFFF	209
139	#FFFFFF	209
140	#FFFFFF	209
141	#FFFFFF	209
142	#FFFFFF	209
143	#FFFFFF	209
144	#FFFFFF	209
145	#FFFFFF	209
146	#FFFFFF	209
147	#FFFFFF	156
148	#FFFFFF	156
149	#FFFFFF	156
150	#FFFFFF	156
151	#FFFFFF	156
152	#FFFFFF	156
153	#FFFFFF	156
154	#FFFFFF	156
155	#FFFFFF	1580
156	#FFFFFF	209
157	#FFFFFF	209
158	#FFFFFF	1580
159	#FFFFFF	1580
160	#FFFFFF	209
161	#FFFFFF	1580
162	#FFFFFF	209
163	#FFFFFF	209
164	#FFFFFF	209
165	#FFFFFF	156
166	#FFFFFF	209
167	#FFFFFF	209
168	#FFFFFF	209
169	#FFFFFF	209
170	#FFFFFF	209
171	#FFFFFF	209
172	#FFFFFF	209
173	#FFFFFF	209
174	#FFFFFF	209
175	#FFFFFF	209
176	#FFFFFF	156
177	#FFFFFF	209
178	#FFFFFF	209
179	#FFFFFF	209
180	#FFFFFF	209
181	#FFFFFF	209
182	#FFFFFF	209
183	#FFFFFF	209
184	#FFFFFF	209
185	#FFFFFF	209
186	#FFFFFF	209
187	#FFFFFF	156
188	#FFFFFF	209
189	#FFFFFF	209
190	#FFFFFF	209
191	#FFFFFF	1816
192	#FFFFFF	1816
193	#FFFFFF	1816
194	#FFFFFF	1816
195	#FFFFFF	1816
196	#FFFFFF	1816
197	#FFFFFF	1816
198	#FFFFFF	156
199	#FFFFFF	156
200	#FFFFFF	156
201	#FFFFFF	156
202	#FFFFFF	156
203	#FFFFFF	156
204	#FFFFFF	156
205	#FFFFFF	156
206	#FFFFFF	1580
207	#FFFFFF	209
208	#FFFFFF	1580
209	#FFFFFF	209
210	#FFFFFF	209
211	#FFFFFF	209
212	#FFFFFF	209
213	#FFFFFF	209
214	#FFFFFF	209
215	#FFFFFF	209
216	#FFFFFF	156
217	#FFFFFF	209
218	#FFFFFF	209
219	#FFFFFF	209
220	#FFFFFF	209
221	#FFFFFF	209
222	#FFFFFF	209
223	#FFFFFF	209
224	#FFFFFF	209
225	#FFFFFF	209
