group	x	y	clickSelects
16991	-45.25	47.75	721
16991	-45.25	48.25	721
16991	-44.75	48.25	721
16991	-44.25	47.75	721
16991	-43.25	47.75	721
16991	-42.75	47.25	721
16991	-42.75	45.75	721
16991	-43.75	45.75	721
16991	-43.75	44.75	721
16991	-44.25	44.75	721
16991	-45.25	45.75	721
16991	-45.25	47.75	721
16992	-45.25	43.75	721
16992	-45.25	44.25	721
16992	-44.75	44.25	721
16992	-44.75	43.75	721
16992	-45.25	43.75	721
12656	-44.75	48.25	374
12656	-44.75	48.75	374
12656	-37.25	48.75	374
12656	-37.25	46.75	374
12656	-36.75	46.25	374
12656	-36.75	43.75	374
12656	-38.75	41.75	374
12656	-39.25	41.75	374
12656	-39.25	42.25	374
12656	-38.75	42.75	374
12656	-38.75	43.75	374
12656	-38.25	44.25	374
12656	-38.25	44.75	374
12656	-38.75	44.75	374
12656	-39.25	44.25	374
12656	-40.25	44.25	374
12656	-40.25	41.25	374
12656	-40.75	41.25	374
12656	-41.25	41.75	374
12656	-41.25	42.75	374
12656	-41.75	42.75	374
12656	-42.25	42.25	374
12656	-42.25	41.75	374
12656	-41.75	41.25	374
12656	-41.75	40.75	374
12656	-44.25	40.75	374
12656	-45.25	41.75	374
12656	-45.25	43.25	374
12656	-44.75	43.75	374
12656	-44.75	44.25	374
12656	-45.25	44.75	374
12656	-45.25	45.25	374
12656	-44.75	45.25	374
12656	-44.25	44.75	374
12656	-43.75	44.75	374
12656	-43.75	45.75	374
12656	-42.75	45.75	374
12656	-42.75	47.25	374
12656	-43.25	47.75	374
12656	-44.25	47.75	374
12656	-44.75	48.25	374
12657	-35.75	47.25	374
12657	-35.75	47.75	374
12657	-34.75	48.75	374
12657	-34.25	48.75	374
12657	-34.25	48.25	374
12657	-35.25	47.25	374
12657	-35.75	47.25	374
4440	-45.25	40.75	1612
4440	-45.25	41.25	1612
4440	-44.75	41.25	1612
4440	-44.25	40.75	1612
4440	-41.75	40.75	1612
4440	-41.75	41.25	1612
4440	-42.25	41.75	1612
4440	-42.25	42.25	1612
4440	-41.75	42.75	1612
4440	-41.25	42.75	1612
4440	-41.25	41.75	1612
4440	-40.75	41.25	1612
4440	-40.75	40.75	1612
4440	-41.25	40.25	1612
4440	-41.25	39.25	1612
4440	-41.75	38.75	1612
4440	-42.75	38.75	1612
4440	-42.75	38.25	1612
4440	-42.25	37.75	1612
4440	-41.25	37.75	1612
4440	-41.25	36.75	1612
4440	-40.25	36.75	1612
4440	-40.25	35.75	1612
4440	-39.75	35.25	1612
4440	-39.75	34.75	1612
4440	-40.25	34.75	1612
4440	-40.75	35.25	1612
4440	-41.25	35.25	1612
4440	-41.25	34.25	1612
4440	-42.25	33.25	1612
4440	-42.25	32.25	1612
4440	-43.25	32.25	1612
4440	-43.25	30.75	1612
4440	-42.75	30.75	1612
4440	-42.25	31.25	1612
4440	-41.75	31.25	1612
4440	-41.75	30.25	1612
4440	-41.25	29.75	1612
4440	-41.25	28.75	1612
4440	-40.75	28.25	1612
4440	-37.75	28.25	1612
4440	-37.25	27.75	1612
4440	-36.75	27.75	1612
4440	-36.75	28.25	1612
4440	-37.75	29.25	1612
4440	-37.75	29.75	1612
4440	-35.75	29.75	1612
4440	-35.75	30.75	1612
4440	-33.25	30.75	1612
4440	-31.75	29.25	1612
4440	-30.75	29.25	1612
4440	-29.75	28.25	1612
4440	-28.75	28.25	1612
4440	-26.75	26.25	1612
4440	-26.75	25.75	1612
4440	-27.75	25.75	1612
4440	-27.75	25.25	1612
4440	-26.25	23.75	1612
4440	-26.25	22.75	1612
4440	-25.25	22.75	1612
4440	-25.25	21.75	1612
4440	-24.75	21.25	1612
4440	-24.25	21.25	1612
4440	-23.75	21.75	1612
4440	-23.25	21.75	1612
4440	-23.25	21.25	1612
4440	-23.75	20.75	1612
4440	-23.75	19.25	1612
4440	-22.75	19.25	1612
4440	-22.75	17.75	1612
4440	-24.75	17.75	1612
4440	-24.75	15.75	1612
4440	-25.25	15.25	1612
4440	-26.25	15.25	1612
4440	-26.25	14.75	1612
4440	-25.75	14.25	1612
4440	-25.75	13.75	1612
4440	-27.75	11.75	1612
4440	-28.25	11.75	1612
4440	-28.75	12.25	1612
4440	-29.25	12.25	1612
4440	-30.25	11.25	1612
4440	-30.25	10.25	1612
4440	-30.75	10.25	1612
4440	-31.25	10.75	1612
4440	-31.25	12.25	1612
4440	-30.75	12.75	1612
4440	-30.75	13.25	1612
4440	-31.25	13.25	1612
4440	-31.75	12.75	1612
4440	-32.75	12.75	1612
4440	-32.75	11.75	1612
4440	-33.25	11.75	1612
4440	-33.75	12.25	1612
4440	-33.75	13.25	1612
4440	-34.25	13.75	1612
4440	-34.25	14.75	1612
4440	-34.75	14.75	1612
4440	-35.25	14.25	1612
4440	-35.75	14.25	1612
4440	-35.75	15.25	1612
4440	-36.25	15.75	1612
4440	-36.25	16.25	1612
4440	-35.25	16.25	1612
4440	-35.25	16.75	1612
4440	-35.75	17.25	1612
4440	-37.75	17.25	1612
4440	-38.75	18.25	1612
4440	-38.75	19.25	1612
4440	-39.25	19.75	1612
4440	-39.25	21.75	1612
4440	-40.25	21.75	1612
4440	-40.25	22.25	1612
4440	-39.75	22.75	1612
4440	-39.75	23.25	1612
4440	-40.25	23.75	1612
4440	-41.25	23.75	1612
4440	-41.25	24.25	1612
4440	-40.75	24.75	1612
4440	-40.75	25.25	1612
4440	-44.25	28.75	1612
4440	-45.25	28.75	1612
4440	-45.25	40.75	1612
6173	-37.25	47.75	196
6173	-37.25	48.25	196
6173	-36.75	48.75	196
6173	-35.25	48.75	196
6173	-35.25	48.25	196
6173	-35.75	47.75	196
6173	-35.75	47.25	196
6173	-35.25	47.25	196
6173	-33.75	48.75	196
6173	-27.25	48.75	196
6173	-26.75	48.25	196
6173	-24.75	48.25	196
6173	-24.75	46.25	196
6173	-24.25	45.75	196
6173	-23.25	45.75	196
6173	-22.75	45.25	196
6173	-21.75	45.25	196
6173	-21.25	44.75	196
6173	-19.75	44.75	196
6173	-19.75	45.25	196
6173	-20.75	46.25	196
6173	-20.75	46.75	196
6173	-18.75	46.75	196
6173	-18.25	47.25	196
6173	-18.25	47.75	196
6173	-18.75	48.25	196
6173	-18.75	48.75	196
6173	-11.25	48.75	196
6173	-10.75	48.25	196
6173	-9.75	48.25	196
6173	-9.75	47.25	196
6173	-9.25	46.75	196
6173	-8.25	46.75	196
6173	-8.25	45.75	196
6173	-7.75	45.75	196
6173	-7.25	46.25	196
6173	-6.75	46.25	196
6173	-6.75	44.25	196
6173	-5.75	44.25	196
6173	-5.25	43.75	196
6173	-4.25	43.75	196
6173	-3.75	43.25	196
6173	-3.75	42.25	196
6173	-3.25	41.75	196
6173	-3.25	40.75	196
6173	-2.25	40.75	196
6173	-2.25	40.25	196
6173	-3.25	39.25	196
6173	-3.25	38.75	196
6173	-2.25	38.75	196
6173	-0.25	36.75	196
6173	-0.25	35.25	196
6173	-0.75	34.75	196
6173	-1.25	34.75	196
6173	-1.25	35.75	196
6173	-1.75	36.25	196
6173	-2.75	36.25	196
6173	-2.75	37.25	196
6173	-3.25	37.25	196
6173	-3.75	36.75	196
6173	-3.75	35.75	196
6173	-4.25	35.25	196
6173	-4.25	34.25	196
6173	-5.25	34.25	196
6173	-5.25	32.75	196
6173	-4.75	32.25	196
6173	-4.25	32.25	196
6173	-4.25	33.25	196
6173	-3.75	33.25	196
6173	-2.75	32.25	196
6173	-2.75	31.75	196
6173	-3.75	31.75	196
6173	-3.75	30.75	196
6173	-4.25	30.75	196
6173	-5.75	32.25	196
6173	-6.25	32.25	196
6173	-6.75	31.75	196
6173	-7.75	31.75	196
6173	-7.75	31.25	196
6173	-6.25	29.75	196
6173	-6.25	28.25	196
6173	-6.75	27.75	196
6173	-7.25	27.75	196
6173	-7.75	28.25	196
6173	-8.25	28.25	196
6173	-8.25	27.25	196
6173	-8.75	27.25	196
6173	-10.25	28.75	196
6173	-10.75	28.75	196
6173	-10.75	27.25	196
6173	-9.75	27.25	196
6173	-9.25	26.75	196
6173	-9.25	26.25	196
6173	-10.25	26.25	196
6173	-10.75	25.75	196
6173	-11.75	25.75	196
6173	-13.25	24.25	196
6173	-13.25	23.25	196
6173	-14.25	23.25	196
6173	-14.25	21.25	196
6173	-15.25	20.25	196
6173	-15.75	20.25	196
6173	-15.75	20.75	196
6173	-15.25	21.25	196
6173	-15.25	21.75	196
6173	-16.25	21.75	196
6173	-16.75	22.25	196
6173	-16.75	23.25	196
6173	-17.25	23.25	196
6173	-18.25	22.25	196
6173	-18.25	21.75	196
6173	-17.25	21.75	196
6173	-17.25	20.75	196
6173	-16.75	20.25	196
6173	-16.75	19.75	196
6173	-17.25	19.75	196
6173	-17.75	20.25	196
6173	-18.25	20.25	196
6173	-18.25	19.25	196
6173	-18.75	18.75	196
6173	-18.75	17.75	196
6173	-20.25	17.75	196
6173	-20.25	18.25	196
6173	-19.75	18.75	196
6173	-19.75	20.25	196
6173	-20.25	20.25	196
6173	-21.75	18.75	196
6173	-21.75	17.25	196
6173	-20.75	17.25	196
6173	-20.75	16.75	196
6173	-21.25	16.25	196
6173	-22.25	16.25	196
6173	-22.25	15.25	196
6173	-23.75	13.75	196
6173	-23.75	12.25	196
6173	-20.75	12.25	196
6173	-20.75	11.25	196
6173	-19.75	11.25	196
