group	label	showSelected1
1	Cluster 5: 35/12861 pixels shown, logFC -4.9 to 4.3, log10(p) 0.0 to 4.9	5
1	Cluster 56: 8/2472 pixels shown, logFC -5.5 to 1.8, log10(p) 0.0 to 4.7	56
1	Cluster 68: 1348/4241 pixels shown, logFC -4.9 to 4.3, log10(p) 0.0 to 3.6	68
1	Cluster 307: 335/1565 pixels shown, logFC -5.2 to 2.5, log10(p) 0.0 to 4.0	307
1	Cluster 345: 118/1184 pixels shown, logFC -4.5 to 3.6, log10(p) 0.0 to 2.7	345
1	Cluster 408: 1196/4898 pixels shown, logFC -5.3 to 3.0, log10(p) 0.0 to 4.2	408
1	Cluster 834: 89/601 pixels shown, logFC -4.8 to 2.3, log10(p) 0.0 to 3.1	834
1	Cluster 1252: 4/1289 pixels shown, logFC -5.9 to 2.2, log10(p) 0.0 to 8.7	1252
1	Cluster 1851: 1565/1611 pixels shown, logFC -4.6 to 3.9, log10(p) 0.0 to 3.0	1851
1	Cluster 2629: 94/94 pixels shown, logFC -4.8 to 0.1, log10(p) 0.1 to 3.1	2629
1	Cluster 2739: 57/58 pixels shown, logFC -5.2 to -1.0, log10(p) 0.3 to 4.0	2739
1	Cluster 2915: 149/210 pixels shown, logFC -3.5 to 1.9, log10(p) 0.0 to 1.6	2915
